benchmark (url)	task (url)	answer_correctness_score	answer_correctness_justification	prompt_clarity_score	prompt_clarity_justification	capability_targeting_score	capability_targeting_justification	code_quality_score	code_quality_justification	documentation_score	documentation_justification	sum_of_scores	human_calibrated_judge_rating
[The Time Traveler's Dilemma: Empathy, Oversight, & the Stop Sign Effect](https://www.kaggle.com/benchmarks/tiffafoster/time-travellers-dilemma)	senate_algorithm_bolivar_1826ad_spanish	0.35	Evaluation relies on a Senate of four LLMs to grade semantic criteria like empathy and immersion, which introduces variance and subjectivity. However, lexical constraint validation (forbidden tokens) is deterministic.	0.7	Precisely outlines historical context, strict bracket format, forbidden token lists, and word count ranges (300-400 words).	0.3	Measures constraint-following under roleplay pressure, but does not isolate a specific, clean cognitive or empathy capability separate from general instruction following.	1.0	Well-structured notebook that cleanly parses responses, validates word count, and maps criteria to LLM judges.	1.0	Very comprehensive documentation explaining historical background, Senate voting mechanism, and behavioral alignment issues.	3.35	91.2
[The Time Traveler's Dilemma: Empathy, Oversight, & the Stop Sign Effect](https://www.kaggle.com/benchmarks/tiffafoster/time-travellers-dilemma)	senate_algorithm_bolivar_1826ad_english	0.35	Relies on subjective Senate grading for semantic alignment, alongside objective word count and token exclusions.	0.7	Precise specifications of prompt tokens, word count, and forbidden vocabulary.	0.3	Broadly tests roleplay and text styling rather than isolated, distinct AGI capabilities.	1.0	Idiomatic kbench use with clean assertion statements and Parallel/delayed calling structure.	1.0	Excellent documentation mapping out the concept of the 'Stop Sign Effect' and empathy constraints.	3.35	91.2
[The Time Traveler's Dilemma: Empathy, Oversight, & the Stop Sign Effect](https://www.kaggle.com/benchmarks/tiffafoster/time-travellers-dilemma)	senate_agi_aksum_350ad_geez	0.35	Uses subjective LLM Senate voting to assess translation accuracy and tone preservation.	0.7	Clear instructions mapping the translation task, forbidden tokens, and BPE formatting constraints.	0.3	Evaluates multilinguality and cultural translation under stress, but has high overlap with general language skills.	1.0	Clean notebook cell defining task parameters, string extraction, and scoring thresholds.	1.0	Comprehensive historical framing of the Aksum empire and Ge'ez language requirements.	3.35	91.2
[The Time Traveler's Dilemma: Empathy, Oversight, & the Stop Sign Effect](https://www.kaggle.com/benchmarks/tiffafoster/time-travellers-dilemma)	senate_agi_aksum_350ad_english	0.35	Relies on a four-LLM Senate to evaluate conceptual mapping and theological references.	0.7	Detailed and precise prompt outlining word length, format brackets, and banned computer-science words.	0.3	Focuses on roleplay immersion and strict negative constraint adherence.	1.0	Clean code structure that implements exact-match checks and runs LLM judge assessments.	1.0	Clear mapping of theoretical background and alignment goals.	3.35	91.2
[The Time Traveler's Dilemma: Empathy, Oversight, & the Stop Sign Effect](https://www.kaggle.com/benchmarks/tiffafoster/time-travellers-dilemma)	empress_taytu_cyberwarfare_1896	0.35	The Senate evaluates high-level concepts like Ontological Accuracy and Amharic Integration, introducing scoring noise.	0.7	Provides clear historical grounding, word count guidelines, and a list of forbidden modern terms.	0.3	Measures creative translation and constraint following rather than an isolated cognitive skill.	1.0	Clean implementation of the word count validator and the lexical filter in python.	1.0	Excellent explanation of the prompt's premise and the evaluation rubric.	3.35	91.2
[Adversarial Cognitive Profiling (ACP): Metacognitive Calibration Benchmark](https://www.kaggle.com/benchmarks/soonsiens/adversarial-cognitive-profiling-acp)	adversarial_cognitive_profiling_metacognition	0.7	The task has fully verifiable answers using programmatic World-Swap logical problems. Correctness checks are binary, and confidence intervals are computed using boot-strapping.	0.7	Prompts specify explicit formatting rules and constraints, ensuring model performance reflects reasoning capacity.	0.6	Isolates metacognitive self-calibration (measuring the alignment between accuracy and self-reported confidence) using Signal Detection Theory (meta-d').	1.0	Code is clean, robust, handles parallel workers efficiently, computes ECE (Expected Calibration Error), probit conversions, and bootstrap intervals.	1.0	The writeup explains the cognitive theory, four tiers of logical difficulty, ECE formula, and experimental results in depth.	4.0	64.6
TemporalBench: Validity Windows Beat Decay Functions in Temporal Reasoning	TemporalBench-v1-AsOfQA	0.7	Programmatically generated ground-truth versioned facts are compared against the model response using a token-overlap evaluator.	0.7	Prompts are precise factual queries specifying entity, attribute, and temporal bounds.	0.6	Isolates temporal reasoning, specifically retrieveing fact validity bounds in history.	1.0	Clean notebook structure with evaluation looping, answer matching functions, and task registration.	1.0	Very detailed writeup explaining Temporal Reasoning Score (TRS), memory architectures, and the decay paradox.	4.0	26.0
TemporalBench: Validity Windows Beat Decay Functions in Temporal Reasoning	TemporalBench-v1-ChangeDetection	0.7	Compares transitioning state dates programmatically against expected values.	0.7	Precise questions about event transition timestamps.	0.6	Targets identifying state changes in a versioned history log.	1.0	Clear code logic defining functions and assertions.	1.0	Excellent conceptual framing and references.	4.0	26.0
TemporalBench: Validity Windows Beat Decay Functions in Temporal Reasoning	TemporalBench-v1-CausalQuery	0.7	Evaluates logical reasoning about causal triggers using deterministic timelines.	0.7	Precise logical questions querying the reasons behind state transitions.	0.6	Measures logical temporal causality.	1.0	Well-implemented kbench task with clear comments.	1.0	Rich documentation defining task properties.	4.0	26.0
TemporalBench: Validity Windows Beat Decay Functions in Temporal Reasoning	TemporalBench-v2-PastQueryTrap	0.7	Determines correctness of historical queries under overlapping timelines.	0.7	Clear instructions testing model's ability to extract historical states without recency bias.	0.6	Isolates the stop-sign or recency bias in models when querying old facts.	1.0	Clean codebase utilizing dataset loading routines.	1.0	Covers v2 overlap tiers and parameters thoroughly.	4.0	26.0
TemporalBench: Validity Windows Beat Decay Functions in Temporal Reasoning	TemporalBench-v2-CurrentQuery	0.7	Fully verifiable current-state retrieval checks.	0.7	Precise current-state queries with minimal gaps.	0.6	Measures recency retrieval correctness.	1.0	Well-structured task wrapper.	1.0	Comprehensive description in writeup.	4.0	26.0
TemporalBench: Validity Windows Beat Decay Functions in Temporal Reasoning	TemporalBench-v3-DecayTrap	0.7	Tests model output accuracy under high-attention distractor noise.	0.7	Clear formatting prompts with injected distractor facts.	0.6	Targets robustness against temporal distractors and decay curves.	1.0	Uses SDK appropriately with clean assertion logs.	1.0	Discusses noise injection mechanisms and math formulas.	4.0	26.0
TemporalBench: Validity Windows Beat Decay Functions in Temporal Reasoning	TemporalBench-v4-OverlapQuery	0.7	Verifies correctness at boundary conditions where multiple facts overlap.	0.7	Clear, precise task prompt asking for state at a specific boundary day.	0.6	Isolates reasoning under micro-temporal gaps and overlaps.	1.0	Excellent task code registering the v4 overlap test.	1.0	Full discussion of v4 results and decay equations in the writeup.	4.0	26.0
[Constraint Adaptation Benchmark (CAB)](https://www.kaggle.com/benchmarks/ihechilurumblessed/constraint-alignment-benchmark-cab)	Code Golf Benchmark	0.7	Verifiability is absolute: Python syntax validation and hidden assert unit tests are executed dynamically on the golfed codes.	0.7	Detailed guidelines covering option syntax blocks, characters optimization instructions, and feedback formats.	0.6	Directly evaluates syntactical compression and code optimization under strict unit tests.	1.0	Code is clean, modular, parses option tokens robustly, implements 5-second CPU execution guards, and handles system prompt failures cleanly.	1.0	Excellent writeup outlining Code Golf tasks, baseline sizes, scoring logic, and empirical model failure modes.	4.0	13.3
[Constraint Adaptation Benchmark (CAB)](https://www.kaggle.com/benchmarks/ihechilurumblessed/constraint-alignment-benchmark-cab)	Regex Golf Benchmark	0.7	Evaluates using python's re.fullmatch() checking all MATCH strings are accepted and all DO_NOT_MATCH are rejected.	0.7	Clear instructions outlining the MATCH and DO_NOT_MATCH lists, baseline length targets, and regex constraints.	0.6	Isolates pattern compression and edge-case logical reasoning.	1.0	Robust evaluator notebook with regex compilation try-except syntax catch blocks and detailed mismatch reports.	1.0	Writeup covers regex baseline stats, compression formula, and results breakdowns.	4.0	13.3
[Constraint Adaptation Benchmark (CAB)](https://www.kaggle.com/benchmarks/ihechilurumblessed/constraint-alignment-benchmark-cab)	Embedding Geometry Awareness Test | Tier 1: Shared Semantic Space CoM Convergence	0.7	Verifiability is deterministic. Calculated using L2 normalisation distance checks in a static SentenceTransformer space.	0.7	Very precise instructions regarding semantic stop-word centroid targets, deduplication math sets, BPE window size, and custom brackets.	0.6	Isolates geometric token routing (converging toward a semantic center of mass in latent space).	1.0	High-quality tokenisation logic that filters delimiters / whitespace to ensure fair comparison between Llama and Qwen models.	1.0	The writeup defines EGAT, explains the CoM convergence logic, and provides detailed qualitative results.	4.0	13.3
